Feature1,Feature2,Correlation,AbsCorrelation,Range
MolMR,Chi0n,0.975731631949076,0.975731631949076,0.9 - 1.0
Chi0v,Kappa1,0.9756687841255764,0.9756687841255764,0.9 - 1.0
Kappa1,Chi0v,0.9756687841255764,0.9756687841255764,0.9 - 1.0
Chi1,MW,0.9748727757550624,0.9748727757550624,0.9 - 1.0
MW,Chi1,0.9748727757550624,0.9748727757550624,0.9 - 1.0
HeavyAtomCount,HeavyAtomMolWt,0.974589206427946,0.974589206427946,0.9 - 1.0
HeavyAtomMolWt,HeavyAtomCount,0.974589206427946,0.974589206427946,0.9 - 1.0
Chi0v,Chi1,0.9742568650147474,0.9742568650147474,0.9 - 1.0
Chi1,Chi0v,0.9742568650147474,0.9742568650147474,0.9 - 1.0
Kappa1,LabuteASA,0.9730929779070879,0.9730929779070879,0.9 - 1.0
LabuteASA,Kappa1,0.9730929779070879,0.9730929779070879,0.9 - 1.0
Kappa1,MW,0.9714120820807498,0.9714120820807498,0.9 - 1.0
MW,Kappa1,0.9714120820807498,0.9714120820807498,0.9 - 1.0
HeavyAtomMolWt,NumValenceElectrons,0.969470863860632,0.969470863860632,0.9 - 1.0
NumValenceElectrons,HeavyAtomMolWt,0.969470863860632,0.969470863860632,0.9 - 1.0
Kappa1,Chi0n,0.9691116603227897,0.9691116603227897,0.9 - 1.0
Chi0n,Kappa1,0.9691116603227897,0.9691116603227897,0.9 - 1.0
Chi0v,Chi1n,0.9686024016957308,0.9686024016957308,0.9 - 1.0
Chi1n,Chi0v,0.9686024016957308,0.9686024016957308,0.9 - 1.0
Chi1,HeavyAtomMolWt,0.9685516113655034,0.9685516113655034,0.9 - 1.0
HeavyAtomMolWt,Chi1,0.9685516113655034,0.9685516113655034,0.9 - 1.0
Chi3n,Chi2n,0.9680796765602765,0.9680796765602765,0.9 - 1.0
Chi2n,Chi3n,0.9680796765602765,0.9680796765602765,0.9 - 1.0
NumValenceElectrons,Chi1n,0.9676801415023107,0.9676801415023107,0.9 - 1.0
